	BP_RCS_1	BM_RCS_1	BP_RCS_2	BM_RCS_2	BP_RCS_3	BM_RCS_3	BP_RCS_4	BM_RCS_4	BP_RCS_5	BM_RCS_5	BP_RCS_6	BM_RCS_6	BP_Pitt_6	BM_Pitt_6	BP_Pitt_7	BM_Pitt_7	BP_Pitt_12	BM_Pitt_12	BP_Pitt_17	BM_Pitt_17	BP_Pitt_25	BM_Pitt_25	BP_Pitt_29	BM_Pitt_29	BP_Pitt_47	BM_Pitt_47	BP_Pitt_51	BM_Pitt_51	BP_Pitt_52	BM_Pitt_52	BP_Pitt_62	BM_Pitt_62	BP_Pitt_64	BM_Pitt_64	BP_Pitt_68	BM_Pitt_68	BP_Pitt_71	BM_Pitt_71	BP_Pitt_72	BM_Pitt_72
NAT1	15	22.29	50.51	26.04	32.23	139.84	138.46	33.72	27.55	17.16	24.92	29.79	23.01	21.25	22.39	18.3	12.49	25.92	138.89	448.72	17.51	13.54	21	12.79	31.14	33.41	59.51	39.96	20.4	34.43	145.75	86.28	10.63	22.08	18.24	17.54	11.58	23.96	25.18	67.49
NEK2	119.38	148.61	216.47	503.16	199.21	284.65	142.79	92.73	450.4	629.95	40.41	42.56	179.67	191.27	168.47	113.29	237.35	365.76	49.19	86.82	572.38	384.5	539.67	454.61	130.99	129.18	232	421.44	138.96	130.84	253.47	393.84	633.91	617.48	487.55	674.01	351.76	195.13	81.82	74.52
NMU	16.25	25.39	21.65	16.74	4.1	1.65	14.42	11.8	32.01	50.64	4.71	12.77	21.91	7.08	87.43	102.04	38.56	69.12	26.04	8.6	47.06	55.68	40.44	136.78	21.47	6.68	244.05	32.7	14.02	73.46	19.01	13.58	14.49	138.57	74.63	35.08	17.37	25.67	15.73	8.44
NUSAP1	166.88	304.66	93.81	399.92	301.16	318.57	108.18	47.21	265.03	273.78	40.41	170.24	117.23	134.6	171.66	172.4	118.4	164.16	89.7	154.73	206.84	379.24	229.4	246.99	106.3	127.69	192.83	130.79	186.12	112.48	123.57	174.95	298.59	238.31	268.65	200.45	178.05	116.39	72.38	53.43
OAZ1	1996.36	1917.74	1277.2	2289.78	1821.01	1949.5	1579.36	640.69	2116.51	1518.22	1791.48	2955.86	1602.81	1347.42	1563.11	942.95	1252.48	1252.8	1579.87	1911.79	1096.6	1149.75	2234.12	2449.2	1553.67	2285.81	1463.53	1340.61	1622.85	1407.15	2184.09	2639.45	1088.08	983.71	1910.41	1150.08	1676.29	1394.99	1239.89	1815.24
ORC6L	245.01	468.75	93.81	212.98	91.99	110.88	38.94	50.58	207.71	371.62	33	57.46	83.26	76.51	93.83	82.33	108.08	299.52	72.34	127.22	157.59	103.09	236.4	163.35	82.68	194.51	118.26	123.53	133.86	117.07	156.31	88.67	318.89	143.9	194.03	122.78	189.63	227.65	44.06	43.59
OXCT1	415.02	463.18	115.45	478.04	155.27	284.65	108.18	547.96	450.4	502.07	254.58	385.18	471.09	382.55	206.85	235.74	275.37	412.8	271.99	32.67	376.48	510.92	139.2	248.95	193.27	558.28	562.67	287.01	96.89	229.55	98.22	156.58	180.7	176.64	515.75	378.35	263.46	350.89	226.58	170.13
PALM2	58.75	151.71	43.29	11.16	22.85	24.82	23.08	25.29	37.97	69.52	27.61	74.48	75.59	18.42	28.79	24.63	25.53	149.76	57.87	18.05	148.84	247.56	34.99	74.78	27.92	15.59	51.22	65.4	57.37	68.87	20.07	12.78	75.37	16.75	66.33	12.53	27.5	30.81	31.47	12.65
PECI	672.54	1153.62	288.63	372.48	434.16	928.41	183.18	222.56	225.57	280.64	296.34	487.32	443.7	508.65	106.62	119.63	198.25	232.32	460.07	700.59	82.08	94.06	88.65	59.04	339.29	1363.77	411.27	370.58	145.33	153.8	132.02	246.85	77.31	117.25	74.63	115.26	130.28	183.15	355.6	296.68
PGR	25	9.91	28.86	5.58	19.92	24	64.91	48.9	26.8	26.61	105.06	25.54	26.29	11.33	23.46	14.07	19.01	25.92	69.44	779.67	15.32	19.56	19.44	14.76	307.08	16.33	164.2	69.03	10.2	32.14	30.63	22.37	23.19	13.7	13.27	27.56	60.8	22.25	66.09	461.19
PHGDH	558.16	1071.26	1767.87	1474.12	176.36	238.31	460.11	768.83	923.14	2663.11	164.33	385.18	1076.94	826.02	393.44	957.72	696.3	6238.08	133.1	257.89	1756.52	2192.65	2136.14	2426.57	287.76	1357.08	889.57	715.72	634.86	656.51	204.89	372.27	713.14	487.29	1029.83	1069.9	940.92	790.78	824.5	822.55
PITRM1	478.15	564.12	245.34	414.34	260.14	335.12	287.03	188.84	318.63	235.16	277.48	312.82	446.99	688.59	312.41	268.11	394.86	457.92	263.31	372.21	207.94	153.5	318.05	345.39	241.59	366.74	189.06	214.35	247.32	298.42	227.07	352.3	400.06	687.53	293.53	305.69	247.54	150.62	198.26	306.52
PRC1	280.64	378.97	173.18	182.75	249.01	268.1	95.19	28.66	245.67	296.09	51.86	57.46	283.75	276.28	175.93	147.07	121.66	138.24	75.23	162.47	362.25	392.78	327.38	276.51	161.06	129.18	259.87	69.03	228.19	103.3	119.34	224.48	446.44	522.31	207.29	145.33	308.33	138.64	40.91	57.65
